v8-version,5,1,281,95,0
code-creation,Handler,4,0x13b774f2fc20,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f2fca0,379,"FastNewContextStub"
code-creation,Stub,15,0x13b774f2fe20,151,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f2fec0,276,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f2ffe0,791,"FastNewClosureStub"
code-creation,Stub,16,0x13b774f30300,172,"CompareICStub"
code-creation,Handler,4,0x13b774f303c0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f30440,240,"BinaryOpICStub"
code-creation,Stub,16,0x13b774f30540,172,"CompareICStub"
code-creation,Stub,15,0x13b774f30600,204,"BinaryOpICStub"
code-creation,CallIC,12,0x13b774f306e0,113,"A call IC from the snapshot"
code-creation,KeyedStoreIC,14,0x13b774f30760,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x13b774f30920,3484,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x13b774f316c0,156,"ToStringStub"
code-creation,Stub,15,0x13b774f31760,320,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f318a0,224,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f31980,204,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f31a60,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f31ae0,113,"A call IC from the snapshot"
code-creation,Stub,15,0x13b774f31b60,204,"BinaryOpICStub"
code-creation,Stub,16,0x13b774f31c40,172,"CompareICStub"
code-creation,Stub,15,0x13b774f31d00,151,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f31da0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f31e20,204,"BinaryOpICStub"
code-creation,Stub,16,0x13b774f31f00,172,"CompareICStub"
code-creation,Stub,15,0x13b774f31fc0,443,"BinaryOpICStub"
